TID,UserPopularity,Rank,TopicTitle,Keywords
T0,29,12,Complementary-alternative medicine,doctor liver doctors gi blood don numbers problems longer insurance pcp won prescribed diagnosed state surgery care prescription supplements 
T1,5,39,Clinical research,patients data tests igg studies control suspect criteria fibrosis things answer clinical members asma low terms agent advanced comments 
T2,12,27,Emotions about symptoms and test results,emoticon smile frown unsure posted lol severe tests struggling battle dosage fibrosis doses swollen longer raw restarted massive panic 
T3,16,19,Drug side effects interfering with life,side effects hair body mp illness drugs dose people doses end huge stress catch er kids supplements color treat 
T4,186,1,Disease course-monitoring-testing,time back feel months started day told liver bad blood weeks fine year sick people lot weight makes dr 
T5,5,39,Hope and support for patients also suffering related disorders,lupus ai plaquenil rheumy symptoms sjogrens insulin inflammatory anti debbie occasionally butterfly news fabulous pic couple consulted discuss patients 
T6,5,39,Treatment for patients also suffering related disorders,arthritis psoriatic years wow lupus lucky plaquenil psoriasis exhaustion rhuematoid leflunomide nurse relief add imagine sooooo omg sun methotrexate 
T7,45,7,Thyroid problems causing fatigue and sleep issues,aih diagnosed ago weeks fatigue due week age levels sleep issues diagnosis curious question wondering related doctors hashimoto thoughts 
T8,132,3,Disease course-monitoring-testing,liver aih normal biopsy diagnosis test high symptoms levels time blood treatment months inflammation disease enzymes tests experience side 
T9,37,9,Related disorder interfering with life,pain joint meds fatigue helps stress lab muscle hot days rheumatologist back joints active legs constant nausea feeling kind 
T10,5,39,Consequences of a liver transplant,post transplant yeah didnt dont kids yep teeth iron tp lol haha transplanted prograf stress pre wasnt apparently refused 
T11,5,39,Issues with public healthcare not paying for treatment,denied pressure condition virginia fda eye piece meditation medicare glaucoma coverage vision patient cooking enzyme rs myth translate judge 
T12,14,23,Having thyroid problems in addition to AIH,pretty range aren quickly mouth lot immune haven learned switched recently thyroid result option small conditions water form effective 
T13,4,45,Side effects due to steroid drugs,immune system count steroids cell lower wbc lupus job steroid question amazing apparently chronic illness attacks taper doesnt cure 
T14,11,30,Disease course-monitoring-testing,pbc urso ursodiol overlap hepa primary bile stage gi lot cell biliary ducts check bloodwork mayo clinic cept search 
T15,10,33,Psychiatric and cognitive problems,fatigue brain depression symptoms fog heart fibromyalgia lose symptom vit nausea gained tests stools azathiaprine iron aches eating staying 
T16,16,19,Treatment for related gastrointestinal disease - British patients,uk bloods gp pred im xxx xx prednisolone reduced consultant dont coeliac big havent xxxx ive sjorgrens lucky loads 
T17,28,13,General treatment with steroids,azathioprine mg budesonide flare daily diagnosed biopsy hepatitis doctor loss medications teeth lft march yellow january recommended gums october 
T18,11,30,General side effects of drugs,eth acirc curren yr amazing sick yrs back wonderful infections journey quit learning stage nauseous boy gonna means kinds 
T19,10,33,Disease course-monitoring-testing,alt numbers ast normal range igg upper month bilirubin slightly special ranges risk dosage number initially stated products make 
T20,10,33,Side effects due to steroid drugs,spleen enlarged point condition itp scan prednisolone oral ah lucky site protein fatigue platelet rileigh abdomen matter gums albumin 
T21,13,25,Being treated at a specialty clinic,husband left clinic read home cleveland er dog pancreatitis fb regular prescribed lactulose barely dark orange hour difficult imagine 
T22,25,14,Hope and support - Religious-spiritual,hope feel god prayers family helps days itching patient praying loss rest listen christmas hugs walk wow happy pray 
T23,6,37,Getting vaccinated,shingles vaccine chicken immune group pox virus bile person hep contact amount members chickenpox type people common join rash 
T24,1,49,Medical support questions,question commonly number approach inflammation sharing important great follow typically association media ahrn piece hard findings approaches injury point 
T25,1,49,Having other liver diseases along with AIH,people inr yeah situation pt fatty egd facility pretty cirrhosis disc subject articles schedule familiar dosage biotene ascites craig 
T26,20,18,Using last resort medications,daughter prograf daughters school tacrolimus cellcept takes advagraf people generic vitiligo entocort college vitamin night immune spleen worried dont 
